date,product,category,quantity,price,revenue,channel
2026-01-05,Avocado Hair Set,Haircare,2,480000,960000,Website
2026-01-06,Castor Oil,Haircare,3,120000,360000,Instagram
2026-01-07,Liquid Blush,Makeup,4,100000,400000,TikTok
2026-01-08,Turmeric Soap,Skincare,5,90000,450000,Website
2026-01-09,Beard Oil,Beardcare,2,80000,160000,WhatsApp
2026-01-10,Rosemary Oil,Haircare,3,150000,450000,Instagram
2026-01-11,Blueberry Edge Control,Haircare,2,80000,160000,TikTok
2026-01-12,Turmeric Face Set,Skincare,1,450000,450000,Website
2026-01-13,Red Onion Hair Set,Haircare,2,600000,1200000,Instagram
2026-01-14,Beard Balm,Beardcare,3,100000,300000,WhatsApp
2026-01-15,Liquid Blush,Makeup,5,100000,500000,TikTok
2026-01-16,Castor Oil,Haircare,4,120000,480000,Website
2026-01-17,Turmeric Soap,Skincare,6,90000,540000,Instagram
2026-01-18,Rosemary Oil,Haircare,2,150000,300000,Website
2026-01-19,Beard Oil,Beardcare,1,80000,80000,WhatsApp
2026-01-20,Avocado Hair Set,Haircare,3,480000,1440000,TikTok
